ID,Solution Set: Group Experienced
22223850," train-cable car city (cable train circle line, cable train N/S-EW line) "
22223851, transport things & people to you through internet/tv connection 
22223851," trampoline pavement, rubber shoes "
22223852," Transportation for masses -the usuals…trains, buses -grass on roof -solarpowered buses/ trains -sensor lights "
22223852," transportation system: carpool (efficiency), few stops/ destination, express transport sytem, reliable "
22223853," transporter, portable transporter "
22223853, travel through cables 
22223857, travelators powered by solar panels with battery storage 
22223857, travelling in a gyroscopic ball in a tube 
22223858," triple deck MRT, mrt running above expressways"
22223859, tube for travelling 
22223860, turbo 
22223860," underground loop pod, 600km/hr, station "
22223861," underground network, travel point-to-point "
22223862," uni-cycle, hoverboard"
22223863, unmanned vehicle (bus/ car)
22223864, upgraded 'ironman' suit to space 
22223865," use internet, no need to travel!"
22223866, UV protection rain shield 
22223867," vacuum, capsule "
22223868, vertical travelling 
22223868," vertical take off planes, small and mobile "
22223869, virtual reality office > work in VR from home > each can see what the other is looking at 
22223869, virtual travel 
22223870, walk 
22223871, wearable motorised shoes 
22223872, wheels attached to limps 
22223872," wheels, spring"
22223875," with 2 control shoes, battery powered shoes "
22223876," work from home office, virtual shopping"
22223877,"cars on conveyor belt for expressway > avoid traffic jam (often expressways are no longer express becasue of car accidents. with conveyor belts, car accidents are avoided) "
22223878,driverless vehicle (on land and sea) 
22223879,flying device carried by the human 
22223879,implement pilot-less cars from MRT  station to major housing estate 
22223881, sensor in vehicle to bring back vehicle to destination through the fastest route 
22223882, drone 
22223884, automated driverless car 
22223884, hamster powered bike
22223885, solar powered bicycle 
22223885," 3. last mile transport to destination from hubs, driverless cars optimised by route sharing passengers "
22223886, a door which can teleport people to any location 
22223887, iron man suit
22223888," mass transit, segway park "
22223888, multi-model
22223889," pogostick, spring "
